ItemNum,ItemName,Cost,Price,Retail_Price,Tax_1,AltSku,Dept_ID,ItemName_Extra,Count_This_Item,Print_On_Receipt,AllowReturns
711408510526,750M TOAD HOLLOW ZIN FANDEL,0.00000000,0.00000000,0.00000000,False,711408510526,NONE,.,False,True,True
711408713651,TOAD HOLLOW CHARD 750ML,10.27000000,13.99000000,0.00000000,True,711408713651,NONE,.,False,True,True
711556014211,ERDINGER HEFE WEI 6PKNR,8.79000000,10.99000000,0.00000000,True,711556014211,BEER,.,False,True,True
711978036730,229 PEACH 750ML,7.91000000,9.99000000,0.00000000,True,711978036730,VODKA,.,False,True,True
711978036761,STILL POND MEAD 750ML,8.00000000,10.99000000,0.00000000,True,711978036761,WINE,.,False,True,True
712808129820,HIGHLAND GAELIC 6PK,7.60000000,8.99000000,0.00000000,True,712808129820,BEER,.,False,True,True
712808232759,HIGHLAND KASHMIR 6PK,6.89000000,8.99000000,0.00000000,True,712808232759,BEER,.,False,True,True
712808242765,HIGHLAND BLACK MOCHA 6PK,6.88000000,8.99000000,0.00000000,True,712808242765,BEER,.,False,True,True
713757826419,HICKORY EZEKIELS PALE AL 22OZ,6.38000000,8.99000000,0.00000000,True,713757826419,NONE,.,False,True,True
713911101147,750ML ZONE VODKA PEACH 50,0.00000000,0.00000000,0.00000000,False,713911101147,NONE,.,False,True,True
714320711866,CHATEAU BEAULIEU ROSE 750ML,9.99000000,12.99000000,0.00000000,True,714320711866,WINE,.,False,True,True
715126000017,MONTES CAB SAU 750ML,8.82000000,11.99000000,0.00000000,True,715126000017,WINE,.,False,True,True
715126000116,750ML MONTES ALPHA CAB,0.00000000,0.00000000,0.00000000,False,715126000116,NONE,.,False,True,True
715126271219,3L MONTES ALPHA CA B 1IN,0.00000000,0.00000000,0.00000000,False,715126271219,NONE,.,False,True,True
715126556040,KAIKEN MALBEC 750 ML,11.84000000,15.99000000,0.00000000,True,715126556040,WINE,.,False,True,True
715826101908,RAVENS WOOD ZINFANDEL 750ML,7.20000000,9.99000000,0.00000000,True,715826101908,WINE,.,False,True,True
715826106903,750M RAVENSWD VB ZEN OF ZINS,0.00000000,0.00000000,0.00000000,False,715826106903,NONE,.,False,True,True
715897008137,MORGAN METALLICO CHARD 750ML,16.42000000,22.99000000,0.00000000,True,715897008137,NONE,.,False,True,True
715897009332,MORGAN 12 CLONES P NOIR 750ML,26.93000000,28.99000000,0.00000000,True,715897009332,WINE,.,False,True,True
716559400023,750ML SONOMA CREEK PINOT NL,0.00000000,0.00000000,0.00000000,False,716559400023,NONE,.,False,True,True
716559500037,750ML SONOMA CREEK MERLOT,0.00000000,0.00000000,0.00000000,False,716559500037,NONE,.,False,True,True
716900017528,1L CAN. DRY CLUB SODA,0.00000000,0.00000000,0.00000000,False,716900017528,NONE,.,False,True,True
717888110225,750ML HESS COLLECTION CAB,0.00000000,0.00000000,0.00000000,False,717888110225,NONE,.,False,True,True
717888120224,HESS NAPA VALL CHARD 750ML,11.31000000,14.99000000,0.00000000,True,717888120224,WINE,.,False,True,True
717888410233,1.5L HESS ESTATE CAB SAUV 6IN,0.00000000,0.00000000,0.00000000,False,717888410233,NONE,.,False,True,True
717888510025,HESS SELECT CAB SAUV 750ML,12.33000000,18.99000000,0.00000000,True,717888510025,WINE,.,False,True,True
717888520024,HESS SELECT CHARD,8.28000000,11.99000000,0.00000000,True,717888520024,WINE,.,False,True,True
717888570029,HESS SAU BLANC  750ML,7.55000000,11.99000000,0.00000000,True,717888570029,WINE,.,False,True,True
717888640029,750ML HESS ARTEZIN ZIN,0.00000000,0.00000000,0.00000000,False,717888640029,NONE,.,False,True,True
717888791127,750M NORTON RES MALBEC,0.00000000,0.00000000,0.00000000,False,717888791127,NONE,.,False,True,True
718088914088,WHITE GIRL ROSE 750ML,10.72000000,13.99000000,0.00000000,True,718088914088,WINE,.,False,True,True
718088914101,BABE ROSE WITH BUBB 250MLCAN,2.49000000,3.49000000,0.00000000,True,718088914101,WINE,.,False,True,True
718088914118,BABE ROSE WITH BUBB 4PKCAN,10.00000000,12.99000000,0.00000000,True,718088914118,WINE,.,False,True,True
